track_id,total_quantity_sold
207,2
439,2
671,2
903,2
1135,2
1367,2
1599,2
1831,2
2063,2
2295,2
2527,2
2,1
4,1
6,1
8,1
10,1
12,1
16,1
20,1
24,1
28,1
32,1
36,1
42,1
48,1
54,1
60,1
66,1
72,1
78,1
84,1
90,1
99,1
108,1
117,1
126,1
135,1
144,1
153,1
162,1
171,1
180,1
189,1
198,1
216,1
230,1
231,1
232,1
234,1
236,1
238,1
240,1
242,1
244,1
248,1
252,1
256,1
260,1
264,1
268,1
274,1
280,1
286,1
292,1
298,1
304,1
310,1
316,1
322,1
331,1
340,1
349,1
358,1
367,1
376,1
385,1
394,1
403,1
412,1
421,1
430,1
448,1
462,1
463,1
464,1
466,1
468,1
470,1
472,1
474,1
476,1
480,1
484,1
488,1
492,1
496,1
500,1
506,1
512,1
518,1
524,1
530,1
536,1
542,1
548,1
554,1
563,1
572,1
581,1
590,1
599,1
608,1
617,1
626,1
635,1
644,1
653,1
662,1
680,1
694,1
695,1
696,1
698,1
700,1
702,1
704,1
706,1
708,1
712,1
716,1
720,1
724,1
728,1
732,1
738,1
744,1
750,1
756,1
762,1
768,1
774,1
780,1
786,1
795,1
804,1
813,1
822,1
831,1
840,1
849,1
858,1
867,1
876,1
885,1
894,1
912,1
926,1
927,1
928,1
930,1
932,1
934,1
936,1
938,1
940,1
944,1
948,1
952,1
956,1
960,1
964,1
970,1
976,1
982,1
988,1
994,1
1000,1
1006,1
1012,1
1018,1
1027,1
1036,1
1045,1
1054,1
1063,1
1072,1
1081,1
1090,1
1099,1
1108,1
1117,1
1126,1
1144,1
1158,1
1159,1
1160,1
1162,1
1164,1
1166,1
1168,1
1170,1
1172,1
1176,1
1180,1
1184,1
1188,1
1192,1
1196,1
1202,1
1208,1
1214,1
1220,1
1226,1
1232,1
1238,1
1244,1
1250,1
1259,1
1268,1
1277,1
1286,1
1295,1
1304,1
1313,1
1322,1
1331,1
1340,1
1349,1
1358,1
1376,1
1390,1
1391,1
1392,1
1394,1
1396,1
1398,1
1400,1
1402,1
1404,1
1408,1
1412,1
1416,1
1420,1
1424,1
1428,1
1434,1
1440,1
1446,1
1452,1
1458,1
1464,1
1470,1
1476,1
1482,1
1491,1
1500,1
1509,1
1518,1
1527,1
1536,1
1545,1
1554,1
1563,1
1572,1
1581,1
1590,1
1608,1
1622,1
1623,1
1624,1
1626,1
1628,1
1630,1
1632,1
1634,1
